2.75243,0.12714,0.67101
2.75247,0.12127,0.67096
2.75251,0.12066,0.6707
2.75254,0.11883,0.67049
2.75258,0.11712,0.67049
2.75261,0.10639,0.67041
2.75265,0.10187,0.67046
2.75269,0.09446,0.67044
2.75272,0.09152,0.67021
2.75276,0.08641,0.67017
2.7528,0.09148,0.67042
2.75283,0.09078,0.67067
2.75287,0.09678,0.67088
2.7529,0.10211,0.67104
2.75294,0.11132,0.67085
2.75298,0.12131,0.67085
2.75301,0.13536,0.67097
2.75305,0.14344,0.67106
2.75309,0.14726,0.67103
2.75312,0.15507,0.67135
2.75316,0.1527,0.67098
2.75319,0.15366,0.67076
2.75323,0.15441,0.67067
2.75327,0.1559,0.67042
2.7533,0.154,0.67016
2.75334,0.15158,0.67015
2.75338,0.14205,0.66991
2.75341,0.1331,0.66994
2.75345,0.1236,0.66987
2.75349,0.11837,0.66997
2.75352,0.11348,0.67001
2.75356,0.11,0.67019
2.75359,0.11082,0.67018
2.75363,0.11063,0.67029
2.75367,0.112,0.67041
2.7537,0.11614,0.67023
2.75374,0.11885,0.67044
2.75378,0.12487,0.67023
2.75381,0.13019,0.67021
2.75385,0.13157,0.67026
2.75388,0.13974,0.67029
2.75392,0.15002,0.67013
2.75396,0.15155,0.67018
2.75399,0.15053,0.6702
2.75403,0.15331,0.66967
2.75407,0.14991,0.66972
2.7541,0.14957,0.66996
2.75414,0.14268,0.66983
2.75418,0.13207,0.66973
2.75421,0.12904,0.66993
2.75425,0.12651,0.66986
2.75428,0.12243,0.6701
2.75432,0.11725,0.67023
2.75436,0.11284,0.67058
2.75439,0.10809,0.67076
2.75443,0.1033,0.67106
2.75447,0.0977,0.67094
2.7545,0.09107,0.67109
2.75454,0.09482,0.67113
2.75457,0.09779,0.67128
2.75461,0.10453,0.67121
2.75465,0.11317,0.67117
2.75468,0.11827,0.67137
2.75472,0.12689,0.67124
2.75476,0.13236,0.67107
2.75479,0.13752,0.67091
2.75483,0.144,0.67082
2.75486,0.15058,0.67086
2.7549,0.15335,0.67064
2.75494,0.1516,0.67087
2.75497,0.15248,0.67075
2.75501,0.14827,0.67058
2.75505,0.14553,0.67074
2.75508,0.13504,0.67082
2.75512,0.12362,0.67095
2.75516,0.1197,0.6712
2.75519,0.11308,0.67122
2.75523,0.10622,0.67163
2.75526,0.09845,0.67152
2.7553,0.09793,0.67163
2.75534,0.09668,0.6715
2.75537,0.09909,0.67168
2.75541,0.10003,0.67179
2.75545,0.10535,0.67183
2.75548,0.1137,0.67173
2.75552,0.11659,0.67171
2.75555,0.1237,0.67141
2.75559,0.13551,0.67127
2.75563,0.14719,0.67122
2.75566,0.1562,0.67112
2.7557,0.16352,0.67119
2.75574,0.16934,0.67143
2.75577,0.17111,0.67135
2.75581,0.1689,0.67127
2.75585,0.16302,0.67112
2.75588,0.15801,0.67124
2.75592,0.15427,0.67151
2.75595,0.14593,0.67149
2.75599,0.13576,0.672
2.75603,0.12311,0.67224
2.75606,0.11411,0.67215
2.7561,0.1088,0.67221
2.75614,0.1094,0.67206
2.75617,0.11505,0.67222
2.75621,0.11711,0.67235
2.75624,0.12159,0.67232
2.75628,0.12158,0.67218
2.75632,0.11995,0.67175
2.75635,0.12247,0.67153
2.75639,0.12598,0.67121
2.75643,0.13429,0.67137
2.75646,0.14445,0.67127
2.7565,0.1545,0.67113
